App Name,App ID
freefiremax,com.dts.freefiremax
freefireth,com.dts.freefireth
,com.duolingo
literacy,com.duolingo.literacy
nesuper,com.dv8games.nesuper
game.nfs14_row,com.ea.game.nfs14_row
game.pvzfree_row,com.ea.game.pvzfree_row
gp.fifamobile,com.ea.gp.fifamobile
number.puzzle.game,com.easybrain.number.puzzle.game
number.sums.puzzle,com.easybrain.number.sums.puzzle
mobile,com.ebay.mobile
theteachingapp,com.educate.theteachingapp
android.h.intelligence,com.education.android.h.intelligence
android.AlipayGphone,com.eg.android.AlipayGphone
hanping.app.pro,com.embermitre.hanping.app.pro
proclubmanager1,com.encode.proclubmanager1
android.TextNow,com.enflick.android.TextNow
numero,com.esim.numero
score_center,com.espn.score_center
london.travel.guide,com.etips.london.travel.guide
tokyo.travel.guide,com.etips.tokyo.travel.guide
heychina,com.eup.heychina
heyjapan,com.eup.heyjapan
katana,com.facebook.katana
lite,com.facebook.lite
orca,com.facebook.orca
tabiko,com.fastjapan.tabiko
HungrySharkEvolution,com.fgol.HungrySharkEvolution
hillclimb,com.fingersoft.hillclimb
dls7,com.firsttouchgames.dls7
FitbitMobile,com.fitbit.FitbitMobile
hotasana,com.fitnessmobileapps.hotasana
hotyogahealthyyou,com.fitnessmobileapps.hotyogahealthyyou
thehotroom,com.fitnessmobileapps.thehotroom
thehotyogaspot,com.fitnessmobileapps.thehotyogaspot
,com.flirtini
kids,com.footlocker.kids
app,com.freestufffinder.app
chinese,com.funeasylearn.chinese
english.american,com.funeasylearn.english.american
phrasebook.english.american,com.funeasylearn.phrasebook.english.american
android.ANMP.GloftA8HM,com.gameloft.android.ANMP.GloftA8HM
android.ANMP.GloftDYHM,com.gameloft.android.ANMP.GloftDYHM
numbers123.tracing,com.gamesforkids.numbers123.tracing
tileclub,com.gamovation.tileclub
mobile.oldnavy,com.gap.mobile.oldnavy
,com.getmimo
pure,com.getpure.pure
,com.glf
android.GoogleCamera,com.google.android.GoogleCamera
android.apps.adm,com.google.android.apps.adm
android.apps.authenticator2,com.google.android.apps.authenticator2
android.apps.chromecast.app,com.google.android.apps.chromecast.app
android.apps.classroom,com.google.android.apps.classroom
android.apps.docs,com.google.android.apps.docs
android.apps.googlevoice,com.google.android.apps.googlevoice
android.apps.kids.familylink,com.google.android.apps.kids.familylink
android.apps.magazines,com.google.android.apps.magazines
android.apps.maps,com.google.android.apps.maps
android.apps.messaging,com.google.android.apps.messaging
android.apps.nbu.files,com.google.android.apps.nbu.files
android.apps.photos,com.google.android.apps.photos
android.apps.photosgo,com.google.android.apps.photosgo
android.apps.subscriptions.red,com.google.android.apps.subscriptions.red
android.apps.tachyon,com.google.android.apps.tachyon
android.apps.walletnfcrel,com.google.android.apps.walletnfcrel
android.apps.youtube.kids,com.google.android.apps.youtube.kids
android.apps.youtube.music,com.google.android.apps.youtube.music
android.calendar,com.google.android.calendar
android.contacts,com.google.android.contacts
android.deskclock,com.google.android.deskclock
android.dialer,com.google.android.dialer
android.gm,com.google.android.gm
android.googlequicksearchbox,com.google.android.googlequicksearchbox
android.play.games,com.google.android.play.games
android.youtube,com.google.android.youtube
chromeremotedesktop,com.google.chromeremotedesktop
challenge,com.gratitude.challenge
,com.greateranglia
faceshow,com.guochao.faceshow
fruitninjafree,com.halfbrick.fruitninjafree
englandtravelguide,com.happyapplab.englandtravelguide
diarywithlock,com.happyverse.diarywithlock
,com.hellochinese
,com.hellotalk
studio.allinhole,com.homagames.studio.allinhole
release,com.hushed.release
ultimategolf,com.hypgames.ultimategolf
idma,com.idealmatch.idma
app,com.ifriend.app
,com.ihappydate
chinese,com.ihuman.chinese
templerun2,com.imangi.templerun2
dinochinese,com.imayi.dinochinese
livingroom,com.imdbtv.livingroom
cctv,com.imib.cctv
chinese,com.immersive.chinese
hotnspicy,com.indolj.hotnspicy
pcbuilder,com.indraanisa.pcbuilder
bofa,com.infonow.bofa
ikea.app,com.ingka.ikea.app
spacemafia,com.innersloth.spacemafia
jupiter,com.inspiredsquare.jupiter
android,com.instagram.android
patpat,com.interfocusllc.patpat
leaderboard.android,com.investors.leaderboard.android
ixlmath,com.ixl.ixlmath
android.jasensei,com.japanactivator.android.jasensei
campandtraveljapan,com.japancampers.campandtraveljapan
,com.jcp
writeit.jpn,com.jernung.writeit.jpn
app,com.journey.app
cloudgames.community,com.joyark.cloudgames.community
numbers,com.kahoot.numbers
uk.vpn,com.karastm.uk.vpn
mirrorclient,com.kelocube.mirrorclient
android.soccer.news.england,com.kenwa.android.soccer.news.england
kanaoriginlite,com.kevinzhow.kanaoriginlite
kidsplace,com.kiddoware.kidsplace
zahlenspielpro.lars,com.kila.zahlenspielpro.lars
subwaysurf,com.kiloo.subwaysurf
candycrushsaga,com.king.candycrushsaga
candycrushsodasaga,com.king.candycrushsodasaga
farmheroessaga,com.king.farmheroessaga
app,com.kismia.app
fallbuddies,com.kitkagames.fallbuddies
revolution,com.kse.revolution
lobstermaniaslots,com.ksgmobileinc.lobstermaniaslots
drops.learn.learning.speak.language.chinese.mandarin.hanzi.pinyin.words,com.languagedrops.drops.learn.learning.speak.language.chinese.mandarin.hanzi.pinyin.words
drops.learn.learning.speak.language.english.american.us.usa.words,com.languagedrops.drops.learn.learning.speak.language.english.american.us.usa.words
drops.learn.learning.speak.language.japanese.kanji.katakana.hiragana.romaji.words,com.languagedrops.drops.learn.learning.speak.language.japanese.kanji.katakana.hiragana.romaji.words
,com.leaderboardgolf
app,com.leaderboardle.app
lvoverseas,com.lemon.lvoverseas
anyshare.gps,com.lenovo.anyshare.gps
sgameGlobal,com.levelinfinite.sgameGlobal
mobilebenefits.h117,com.lighthouse1.mobilebenefits.h117
WordCounter.free,com.lightweight.WordCounter.free
android,com.livhub.android
,com.logicappkids
number.match.pethereum,com.loop.number.match.pethereum
diary.time.lock,com.lp.diary.time.lock
j5a,com.lulilanguages.j5a
myhotpotstroy.abroad,com.lxqd.myhotpotstroy.abroad
android,com.macys.android
b2b.speedy.trade,com.madeinchina.b2b.speedy.trade
b2b.trade,com.madeinchina.b2b.trade
DH18141,com.malauzai.DH18141
app,com.manualslib.app
uno,com.matteljv.uno
android.memrisecompanion,com.memrise.android.memrisecompanion
photomath,com.microblink.photomath
number.crush.match.numberzilla.ten.saga.puzzle,com.microjoy.number.crush.match.numberzilla.ten.saga.puzzle
appmanager,com.microsoft.appmanager
emmx,com.microsoft.emmx
launcher,com.microsoft.launcher
office.officehubrow,com.microsoft.office.officehubrow
office.outlook,com.microsoft.office.outlook
rdc.android,com.microsoft.rdc.android
rdc.androidx,com.microsoft.rdc.androidx
teams,com.microsoft.teams
xboxone.smartglass,com.microsoft.xboxone.smartglass
kanjistudy,com.mindtwisted.kanjistudy
UKCupid,com.mingle.UKCupid
carrom,com.miniclip.carrom
eightballpool,com.miniclip.eightballpool
miuudiary,com.miuustudio.miuudiary
android.eris,com.mobile.android.eris
android.patriots,com.mobile.android.patriots
daveshotchicken,com.mobile.daveshotchicken
legends,com.mobile.legends
,com.mochi_chinese_flutter
android.an,com.mochimochi.android.an
minecraftedu,com.mojang.minecraftedu
minecraftpe,com.mojang.minecraftpe
dailychinese,com.mojayllc.dailychinese
chinesewriterlite,com.molatra.chinesewriterlite
portable,com.monect.portable
moodlemobile,com.moodle.moodlemobile
cnfree,com.mosalingua.cnfree
jpfree,com.mosalingua.jpfree
secondPhone,com.municorn.secondPhone
LeagueOne_EN,com.mylogbet.LeagueOne_EN
inbound.walk,com.navitime.inbound.walk
newspike,com.netease.newspike
NGP.TooHotToHandle2,com.netflix.NGP.TooHotToHandle2
NGP.TooHotToHandle3,com.netflix.NGP.TooHotToHandle3
mediaclient,com.netflix.mediaclient
board.number.match,com.neverold.board.number.match
app,com.newegg.app
omega,com.nike.omega
truthordare,com.nixgames.truthordare
gratitude,com.northstar.gratitude
,com.oceansecondnum
greatamericanrestaurants,com.olo.greatamericanrestaurants
chatgpt,com.openai.chatgpt
browser,com.opera.browser
mini.native,com.opera.mini.native
EndlessNumbers,com.originatorkids.EndlessNumbers
paw,com.originatorkids.paw
EcbCricket,com.othermedia.EcbCricket
mypaandroid,com.passportamerica.mypaandroid
builder.creator.building.simulator.game,com.pc.builder.creator.building.simulator.game
timescity,com.phdmobi.timescity
app,com.picdiary.app
textfree,com.pinger.textfree
,com.pinterest
art.coloring.color.number.paint.wolf,com.pixel.art.coloring.color.number.paint.wolf
Diaro,com.pixelcrater.Diaro
journal,com.planner.journal
golf.android,com.playdemic.golf.android
fishdomdd.gplay,com.playrix.fishdomdd.gplay
gardenscapes,com.playrix.gardenscapes
homescapes,com.playrix.homescapes
township,com.playrix.township
chinesesystem,com.pleco.chinesesystem
periodcalendar,com.popularapp.periodcalendar
picturebook,com.pplingo.picturebook
hot,com.pro.hot
bluebird.englishamerican,com.pronunciatorllc.bluebird.englishamerican
grammarific.englishamerican,com.pronunciatorllc.grammarific.englishamerican
funchinese,com.pumkin.funchinese
android,com.pushbullet.android
merge,com.puzzle.merge
ukmapquiz,com.qbisstudio.ukmapquiz
aihomework,com.qianfan.aihomework
quizletandroid,com.quizlet.quizletandroid
eng,com.radiomaria.eng
leaderboardmobile,com.regancloper.leaderboardmobile
renshuu_org,com.renshuu.renshuu_org
android,com.robinhood.android
client,com.roblox.client
remote,com.roku.remote
baba,com.rovio.baba
baby.toddler.kids.games.learning.activity,com.rvappstudios.baby.toddler.kids.games.learning.activity
numbers123.toddler.counting.tracing,com.rvappstudios.numbers123.toddler.counting.tracing
door.inter,com.rym.door.inter
psxandroid,com.scee.psxandroid
monopolygo,com.scopely.monopolygo
uphillnewengland,com.seabirdapps.uphillnewengland
android.easyMover,com.sec.android.easyMover
sonicdash,com.sega.sonicdash
diary.mood.tracker.moodpress,com.selfcare.diary.mood.tracker.moodpress
,com.sewayou
production,com.sgiggle.production
eighteen_plus,com.shibbir.eighteen_plus
learnjapaneselanguageguide,com.silvermoonapps.learnjapaneselanguageguide
ling.en,com.simyasolutions.ling.en
mobile.bible.android,com.sirma.mobile.bible.android
raider,com.skype.raider
chat.project_chatter,com.sl.chat.project_chatter
android,com.snapchat.android
results,com.sofascore.results
android,com.soundcloud.android
real.golf.rival.online,com.sports.real.golf.rival.online
music,com.spotify.music
af,com.squadbuilt.af
cash,com.squareup.cash
,com.strava
brawlstars,com.supercell.brawlstars
clashofclans,com.supercell.clashofclans
clashroyale,com.supercell.clashroyale
,com.superchinese
hotvegas.slots.vegas.android.free,com.superluckycasino.hotvegas.slots.vegas.android.free
mobilesecurity,com.symantec.mobilesecurity
scorecounter,com.szabolcsarvai.scorecounter
uknewspapers,com.tachanfil.uknewspapers
android,com.takimi.android
taobao,com.taobao.taobao
taoli,com.taoliweilai.taoli
hotslide,com.tapcheer.hotslide
collectemall,com.tarboosh.collectemall
ui,com.target.ui
teamviewer.market.mobile,com.teamviewer.teamviewer.market.mobile
hotrodmag,com.ten.hotrodmag
ig,com.tencent.ig
mm,com.tencent.mm
textme,com.textmeinc.textme
sms,com.texty.sms
chinadaily,com.theotino.chinadaily
android,com.thredup.android
edu.chinese.hsk.exam,com.tika.edu.chinese.hsk.exam
,com.tinder
mergenumberblocks,com.tinybird.mergenumberblocks
ert,com.tixserve.ert
twickenham,com.tixserve.twickenham
android,com.torrid.android
phoneasmic,com.totech.phoneasmic
tradingviewapp,com.tradingview.tradingviewapp
asair,com.tranetechnologies.asair
,com.truecaller
wh.thehotbev,com.tryperdiem.wh.thehotbev
aos.numberone,com.tunupgames.aos.numberone
android,com.twitter.android
,com.ubercab
android,com.udemy.android
pccreator2,com.ultraandre.pccreator2
japanresort,com.universalstudios.japanresort
recorder,com.userlytics.recorder
android.steam.community,com.valvesoftware.android.steam.community
MobControl,com.vincentb.MobControl
android,com.virtunum.android
vne,com.visitwidget.vne
android,com.vkontakte.android
android,com.vpnplus18.android
android,com.walmart.android
wayfair,com.wayfair.wayfair
,com.waze
,com.welcometokyoevents
,com.whatsapp
hotshotcasino,com.williamsinteractive.hotshotcasino
,com.wonder
vocabulary.vocab,com.word.vocabulary.vocab
,com.ww18PlusBrowser_14870445
,com.ww18PlusBrowser_15935711
chineseexpert,com.xamisoft.chineseexpert
xhs,com.xingin.xhs
pdf.reader,com.xodo.pdf.reader
cloudpc,com.xrcloud.cloudpc
mobile.client.android.mail,com.yahoo.mobile.client.android.mail
yomiwa,com.yomiwa.yomiwa
mood,com.zerone.mood
england_national_football_team_wallpaper,com.zhenkolist.england_national_football_team_wallpaper
musically,com.zhiliaoapp.musically
diary.journal,com.zlq.diary.journal
android,com.zulily.android
kawaiidungeon,de.mardukcorp.kawaiidungeon
kawaiinihongo,de.mardukcorp.kawaiinihongo
lovidoo,de.mobiletrend.lovidoo
daily.mood.diarywithlock,diary.journal.daily.mood.diarywithlock
lock.mood.daily,diary.journal.lock.mood.daily
mood.tracker.diarywithlock,diary.journal.mood.tracker.diarywithlock
hookup.app,down.date.hookup.app
boo,enterprises.dating.boo
ap,es.hskfree.ap
lingokids,es.monkimun.lingokids
DragonCity,es.socialpoint.DragonCity
,flar2.appdashboard
,game.allout
gratitude.happiness.wellbeing.dailyjournal.journal,grateful.gratefulapp.gratitude.happiness.wellbeing.dailyjournal.journal
org,hecate.risefall.org
blek,io.appground.blek
android.app,io.loudplay.android.app
app,io.n2go.app
app.ena,io.tixngo.app.ena
app,io.usersense.app
,io.whatismynumber
memoir.write.diary,journal.notebook.memoir.write.diary
planner.starnest,journal.notes.planner.starnest
jal.dom,jp.co.jal.dom
jorudan.nrkj,jp.co.jorudan.nrkj
nhk.nhkworld.tv,jp.or.nhk.nhkworld.tv
,jp.takoboto
smartstudy.pinkfong123numbers_android_googlemarket,kr.co.smartstudy.pinkfong123numbers_android_googlemarket
vcnc.android.couple,kr.co.vcnc.android.couple
yjteam.dailynote,kr.co.yjteam.dailynote
app,live.gosupernova.app
unofficalcupoftheleaderboard,markus.wieland.unofficalcupoftheleaderboard
audiodiary,me.audiodiary.audiodiary
app.im,me.dingtone.app.im
,me.greenlight
app.im,me.talkyou.app.im
jpnews,mobi.eup.jpnews
journal.lock.mood.tracker.free.secret,mydiary.diary.journal.lock.mood.tracker.free.secret
diary.diarywithlock.diaryjournal.secretdiary,mydiary.journal.diary.diarywithlock.diaryjournal.secretdiary
hot.popular.com.hotappsnearby,nearby.apps.hot.popular.com.hotappsnearby
life_in_the_uk_test,net.briceventures.life_in_the_uk_test
,net.daylio
numberblast,net.happywit.numberblast
android.onsen2,net.kairosoft.android.onsen2
android.onsen_en,net.kairosoft.android.onsen_en
offlinemaps,net.psyberia.offlinemaps
appsales,net.tsapps.appsales
shimmer,net.xiaohuashu.shimmer
kahoot.android,no.mobitroll.kahoot.android
app,online.smsvirtual.app
onlinebanking,org.american1cu.onlinebanking
englandgolfapp,org.cleregolfhub.englandgolfapp
android,org.coursera.android
mobile,org.edx.mobile
mygolf,org.englandgolf.mygolf
android,org.khanacademy.android
android,org.khankids.android
firefox,org.mozilla.firefox
billionairestories,org.nanobit.billionairestories
gamesapp,org.pbskids.gamesapp
video,org.pbskids.video
android,org.plus18.android
duchinese,org.sinamon.duchinese
yomuyomu,org.sinamon.yomuyomu
messenger,org.telegram.messenger
securesms,org.thoughtcrime.securesms
vlc,org.videolan.vlc
,partl.Diarium
beta,ph.spacedesk.beta
app,ru.loveplanet.app
hotpursuit,se.raketspel.hotpursuit
hot,si.ventocom.hot
inDriver,sinet.startup.inDriver
scorekeeper,ua.napps.scorekeeper
HomeOffice.ho2,uk.gov.HomeOffice.ho2
HomeOffice.ho3,uk.gov.HomeOffice.ho3
nt.android.app1,uk.org.nt.android.app1
videoplayer,video.player.videoplayer
downloader,videoplayer.videodownloader.downloader
virtualphone,virtualnumber.secondphone.virtualphone
mechat,world.playme.mechat
